Competition 1,Competition 2,Competition 3,Competition 4,competition 5,competition 6,competition 7,competition 8,competition 9,competition 10,competition 11,competition 12,# of competition,successful or not,keywords
221841,111394,38122,71073,344572,188072,172434,276298,1174826,357241,101177,213321,18,0,Smoking Meat Charcoal Smoker Grill Recipes For Your 
95644,1000000,187144,53646,389067,36316,129230,1020957,14460,239730,8188,97155,666,0,The Easy Slow Cook Crockpot Recipe Cookbook Fast 
1691302,3923208,1068796,247661,995862,1521260,97458,1156280,382772,2017191,668243,1492479,13,0,Dinner Two Appetizers Main Courses Desserts 
73225,5530,117042,36316,190173,451934,28558,776710,360151,395270,117803,188373,809,1,Cooking easy Instant Pot Cookbook beginners kitchen Easy 
101829,17066,523005,261946,98911,1551234,6561,207075,18760,574456,42659,14337,129,1,Halloween Cookbook For Kids halloween recipes kids 
31519,432160,586954,10094,150175,1062751,508922,2826,59092,1664630,9532,1083583,14,1,The Magic Keto Diet Easy Weight Loss Healthy 
138969,32816,1993522,399539,1274148,43113,606639,670888,486666,220041,2048756,1922737,37,0,HEALTHY DESSERTS FOR THE FAMILY Nutritious Family Desserts 
169763,324483,425666,1386006,2551426,401910,294687,149913,485185,763,144174,843200,228,0,Paleo Baking Dessert Recipes Delicious Paleo Baking Recipes 
107416,345302,76522,82929,778192,31599,1082237,468490,5530,1000000,1000000,1000000,9,0,THE COMPLETE INSTANT POT COOKBOOK Over Quick Foolproof 
969610,75525,2826,13420,123397,74434,202450,41891,123269,202819,2601,537644,28,1,The Baking Cookbook Tasty New Recipes You Breads 
32165,8888,754903,53860,6561,75159,40597,1000000,1000000,1000000,1000000,1000000,7,1,Harry Potter Cookbook Hogwarts Magical Recipes Witches Wizards 
75242,248669,79622,101956,230624,18500,1000000,1000000,1000000,1000000,1000000,1000000,6,0,Copycat Recipes StepbyStep Guide Cook Most Popular Restaurant 
139905,53797,134333,53639,500118,23988,187144,159448,1000000,1000000,1000000,1000000,8,0,Best Crock Pot Recipes All Time A Crock 
46875,138387,38152,6561,202450,1100,15565,3474,20823,52694,7836,1017,419,1,Best Baking Recipes All Time A Baking Cookbook 
4267875,23988,20823,13887,361572,681,44448,52477,53797,11181,17971,3096515,155,1,Best Slow Cooker Recipes All Time A Slow 
776814,478699,10205,968262,798848,870823,25239,1465550,111214,3038,575019,1411795,26,1,Natural Liver Cleanse Recipes Liver cleanse juices liver 
323168,19690,539351,77396,360557,5530,68730,9276,164335,217559,86179,19775,639,1,Instant Pot Keto Cookbook For Beginners Days Keto 
17501,107074,3544,82929,187780,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,NuWave Oven Cookbook Beginners Complete Guide Start Cooking 
94843,766484,3704234,1295144,377217,1530171,1986818,3901,39665,1000000,1000000,1000000,9,0,Christmas Treat Recipes Christmas Cookies Cakes Pies Candies 
553502,202450,358749,1000000,2601,485185,7836,215925,842288,100381,57281,66171,643,0,Easy Baking Quick And Easy Bread Recipes For 
13420,43113,75525,202450,214204,112611,16245,74434,34995,2826,2601,72846,42,1,The Bread Baking Cookbook Tasty New Recipes Beginners 
317033,1018747,8413,160128,63157,246148,278900,17800,84338,148170,853008,232429,21,0,The Bread Baking Cookbook A StepbyStep Guide Making 
183340,2415,26298,190173,19690,36316,77396,908990,117803,743035,68730,5530,594,1,Instant Pot Cookbook Beginners Day Quick Easy Instant 
1097979,249814,767943,268310,115940,127791,95304,39533,51222,56025,102228,4832,72,1,The GermanJewish Cookbook Recipes History Cuisine HBI Series 
74310,126282,573068,12745,623678,1254867,237768,67417,216761,398665,717025,412316,35,0,Dehydrator Cookbook Beginners A Beginners Guide Dehydrating Foods 
6561,543337,1363597,2343,6139,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,1,Magical Harry Potter Cookbook Potions Treats And Harrys 
43765,70568,68850,20579,105400,94263,17322,46587,1000000,1000000,1000000,1000000,8,1,Scene Grind A Dog Cozy Mystery A Killer 
3573,233944,132447,2826,32166,37927,34565,20823,408476,16245,584155,24733,315,1,Days Cookie Recipes A Cookie Cookbook Over Recipes 
203833,201442,642738,238948,890240,859132,287024,376550,562964,1623967,696375,62400,36,0,More Easy Recipes Jars 
305322,305706,3827,265464,247382,736341,227799,67637,31973,952781,415160,618532,293,0,Easy Recipes In Jars 
